iter	Passed	Remaining
0	19	19927
1	24	12267
2	29	9813
3	33	8463
4	38	7678
5	45	7489
6	49	7078
7	54	6701
8	58	6434
9	63	6313
10	68	6145
11	73	6064
12	78	5924
13	83	5861
14	88	5802
15	95	5894
16	99	5769
17	104	5723
18	108	5623
19	112	5528
20	116	5452
21	123	5474
22	127	5416
23	131	5341
24	135	5300
25	140	5245
26	144	5195
27	149	5189
28	153	5155
29	158	5135
30	163	5095
31	167	5056
32	171	5019
33	175	4999
34	179	4957
35	184	4935
36	188	4898
37	192	4870
38	196	4834
39	201	4832
40	208	4871
41	213	4872
42	219	4889
43	225	4894
44	231	4913
45	236	4898
46	241	4893
47	248	4932
48	255	4964
49	265	5035
50	270	5032
51	275	5028
52	282	5046
53	287	5032
54	293	5035
55	298	5025
56	302	5007
57	309	5024
58	316	5043
59	329	5161
60	333	5137
61	338	5125
62	345	5138
63	350	5126
64	357	5141
65	363	5138
66	369	5142
67	376	5164
68	383	5169
69	394	5237
70	399	5230
71	406	5239
72	412	5233
73	419	5250
74	427	5271
75	433	5265
76	446	5357
77	454	5373
78	460	5371
79	466	5367
80	476	5400
81	483	5409
82	490	5418
83	495	5400
84	500	5382
85	505	5375
86	510	5361
87	517	5362
88	521	5342
89	526	5325
90	533	5329
91	539	5322
92	545	5321
93	554	5343
94	560	5342
95	568	5351
96	575	5357
97	583	5372
98	592	5394
99	603	5429
100	610	5431
101	619	5453
102	626	5455
103	633	5461
104	641	5467
105	649	5479
106	658	5495
107	666	5500
108	672	5495
109	678	5489
110	685	5486
111	692	5487
112	699	5487
113	710	5519
114	718	5528
115	728	5554
116	734	5546
117	744	5561
118	752	5574
119	763	5601
120	773	5617
121	779	5611
122	796	5676
123	804	5682
124	814	5700
125	830	5763
126	840	5777
127	851	5799
128	858	5798
129	866	5801
130	873	5793
131	881	5796
132	890	5802
133	900	5818
134	909	5827
135	917	5830
136	925	5828
137	932	5821
138	940	5824
139	951	5843
140	962	5866
141	975	5892
142	982	5889
143	993	5903
144	1003	5914
145	1013	5930
146	1022	5930
147	1031	5937
148	1037	5927
149	1045	5922
150	1053	5923
151	1062	5925
152	1068	5912
153	1078	5926
154	1087	5927
155	1097	5939
156	1108	5949
157	1117	5953
158	1133	5995
159	1145	6015
160	1153	6011
161	1171	6062
162	1184	6080
163	1194	6089
164	1206	6107
165	1217	6117
166	1233	6152
167	1242	6155
168	1258	6188
169	1270	6200
170	1281	6211
171	1295	6234
172	1306	6243
173	1313	6237
174	1323	6238
175	1334	6250
176	1343	6248
177	1358	6274
178	1367	6271
179	1374	6262
180	1385	6269
181	1401	6300
182	1408	6288
183	1419	6293
184	1435	6323
185	1453	6359
186	1468	6383
187	1482	6404
188	1497	6423
189	1506	6421
190	1516	6424
191	1530	6442
192	1537	6429
193	1550	6441
194	1559	6437
195	1566	6426
196	1573	6415
197	1583	6412
198	1589	6399
199	1598	6393
200	1608	6394
201	1621	6407
202	1631	6406
203	1639	6395
204	1645	6379
205	1652	6369
206	1659	6356
207	1665	6340
208	1671	6327
209	1678	6314
210	1684	6298
211	1691	6287
212	1699	6277
213	1707	6270
214	1712	6253
215	1721	6247
216	1728	6237
217	1740	6242
218	1748	6236
219	1756	6225
220	1761	6210
221	1770	6206
222	1776	6188
223	1783	6176
224	1789	6162
225	1796	6152
226	1802	6139
227	1808	6124
228	1818	6123
229	1828	6120
230	1835	6108
231	1841	6094
232	1849	6086
233	1855	6074
234	1867	6079
235	1875	6072
236	1882	6058
237	1887	6044
238	1896	6039
239	1902	6024
240	1911	6020
241	1919	6013
242	1930	6015
243	1942	6019
244	1960	6040
245	1971	6044
246	1982	6045
247	1997	6055
248	2011	6066
249	2025	6075
250	2040	6088
251	2054	6098
252	2067	6104
253	2091	6142
254	2103	6145
255	2121	6164
256	2133	6168
257	2144	6167
258	2156	6170
259	2164	6160
260	2171	6148
261	2179	6139
262	2185	6124
263	2191	6110
264	2202	6109
265	2211	6103
266	2218	6090
267	2225	6078
268	2232	6066
269	2238	6051
270	2248	6049
271	2256	6038
272	2262	6026
273	2270	6017
274	2280	6013
275	2286	5997
276	2293	5985
277	2299	5971
278	2308	5965
279	2316	5956
280	2331	5965
281	2340	5960
282	2350	5956
283	2359	5948
284	2366	5937
285	2374	5927
286	2380	5912
